Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Ordered_Date_Year,Ordered_Date_Month,Ordered_Date_Day,Time_OrderPicked_hours,Time_OrderPicked_mins,Time_Orderd_hours,Time_Orderd_mins,Distance_covered,Time_taken (min)
35.0,4.6,Windy,Medium,1,scooter,1.0,No,Metropolitian,2022,3,20,17,30,17,15,11.00773476374462,26
38.0,4.7,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,2022,3,5,13,40,13,30,6.037116126732456,29
36.0,4.8,Stormy,Low,2,electric_scooter,0.0,No,Urban,2022,3,8,22,40,22,35,19.976027554946448,17
27.0,5.0,Stormy,Medium,2,motorcycle,0.0,No,Metropolitian,2022,3,19,16,40,16,35,6.051108888205775,24
38.0,4.7,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,20,55,20,50,13.622111101994378,46
29.0,4.4,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,2022,3,30,8,40,8,35,1.5298767913547426,16
36.0,4.7,Windy,Low,1,motorcycle,1.0,No,Metropolitian,2022,3,2,22,25,22,15,20.182685858169084,19
28.0,4.6,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,2022,3,24,10,35,10,25,3.0186622920269803,18
23.0,4.2,Fog,Medium,2,scooter,1.0,No,Metropolitian,2022,2,16,18,55,18,45,11.904934021697231,36
38.0,4.9,Windy,Jam,2,scooter,1.0,No,Metropolitian,2022,2,17,19,25,19,20,8.988056602876522,29
,,Stormy,Jam,1,scooter,1.0,No,Metropolitian,2022,3,9,20,40,20,25,7.761726486394523,31
28.0,4.1,Fog,Jam,2,scooter,2.0,No,Metropolitian,2022,2,16,20,45,20,40,19.09071006252441,40
38.0,4.8,Sunny,Medium,2,scooter,0.0,No,Urban,2022,2,18,17,40,17,25,10.808376827928514,28
36.0,4.2,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,2022,4,1,18,45,18,30,9.19301447226696,33
34.0,4.7,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,30,18,5,19,35,9.327055824816654,28
20.0,5.0,Windy,Low,2,electric_scooter,0.0,No,Metropolitian,2022,3,15,22,20,22,15,9.314908769971195,16
33.0,4.7,Sunny,Jam,1,scooter,0.0,No,Metropolitian,2022,3,23,19,30,19,25,16.384351156454095,26
34.0,5.0,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,30,8,15,8,10,1.509439424217718,18
28.0,4.5,Sunny,Medium,1,scooter,0.0,No,Metropolitian,2022,2,17,18,50,18,45,9.363585454278844,15
20.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,2022,3,11,10,50,10,35,1.5093571915760948,20
36.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,2022,4,4,23,50,23,40,13.773737657079298,29
30.0,4.8,Windy,Medium,1,scooter,1.0,No,Metropolitian,2022,3,31,18,25,18,20,10.56512884564776,25
22.0,4.1,Sandstorms,Medium,0,motorcycle,0.0,No,Urban,2022,3,10,17,40,17,35,16.824331819052116,38
32.0,4.9,Fog,Medium,2,scooter,1.0,No,Urban,2022,4,5,18,10,19,35,4.65734737800111,17
,,Stormy,Jam,2,scooter,1.0,No,Metropolitian,2022,3,23,21,10,19,35,11.916582838288104,35
25.0,4.8,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,2022,3,11,10,10,19,35,1.5299884479314707,19
31.0,4.8,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,2022,4,5,11,25,11,20,3.116247995629968,30
20.0,4.9,Stormy,Jam,1,scooter,1.0,No,Metropolitian,2022,3,25,21,15,19,35,19.76237198367898,25
23.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,10,19,35,19,30,19.974200402690443,33
37.0,4.7,Stormy,Low,2,scooter,1.0,No,Metropolitian,2022,2,15,8,30,8,15,1.5099339507374587,23
35.0,4.9,Stormy,Low,2,scooter,0.0,No,Urban,2022,3,30,9,30,9,15,3.0189114817580243,23
39.0,4.8,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,2022,3,1,18,45,18,30,4.596439723177665,31
20.0,4.8,Cloudy,High,1,scooter,1.0,No,Metropolitian,2022,3,13,11,55,11,40,2.979598701342032,22
,,,,0,motorcycle,1.0,No,Metropolitian,2022,3,29,19,15,19,35,10.907140151568116,39
39.0,4.6,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,2022,3,15,21,15,21,10,9.348433430020537,27
35.0,4.9,Sunny,Low,1,scooter,,No,Urban,2022,3,8,23,5,19,35,10.705622903496977,24
28.0,4.7,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,2022,2,18,20,5,19,50,20.286769465746783,23
36.0,4.5,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,2022,2,12,21,10,20,55,13.392708074822348,40
20.0,,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,2022,2,17,19,35,20,50,4.681791331017202,28
32.0,4.3,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,2022,3,8,19,5,19,35,10.906324615073055,32
,,Cloudy,Jam,1,motorcycle,0.0,No,Metropolitian,2022,2,11,19,35,19,35,9.07993040755908,32
